King Solomon's Mines,Burlie,Markussen,692586065-X
Beautiful,Eada,Welbeck,307221283-X
Harlan County U.S.A.,Waldon,Le Friec,782254665-1
Asterix and the Gauls (Astérix le Gaulois),Rheba,Bulle,601600601-7
Bury My Heart at Wounded Knee,Sam,Forestel,620029101-2
Strangeland,Essa,Izat,232950861-1
Brown Sugar,Happy,Sidlow,908648113-2
Dragon Seed,Reuven,Gotfrey,668516500-6
Lost and Delirious,Florie,Fassan,001826452-2
Doppelganger (Dopperugengâ),Debora,Smails,549315633-4
Leap Year,Diane,Woodberry,036406592-3
Scary Movie 2,Dav,Hoxey,181734059-X
I Saw What You Did,Stewart,Fuentez,960340563-9
Game of Chance (Onnenpeli),Jonie,Jeves,347830425-3
Stomp the Yard,Emilia,Mintrim,220646903-0
Undisputed III: Redemption,Blanch,Wynne,879446692-0
King Lear,Laina,Biever,412051608-3
Spriggan (Supurigan),Heddi,Zamora,040464608-5
Midnight Clear,Hanni,Chasteney,441180102-7
The Iceman,Stavros,Lendrem,715814818-1
Santa Claus Conquers the Martians,Arabelle,McCrea,388272493-5
Gen 13 (a.k.a. Gen13: The Animated Movie),Minetta,Tremblett,042971983-3
Run Fatboy Run,Alonso,Gaughan,385806754-7
The Gruffalo,Ester,Ligertwood,516919605-9
42 Up,Ursa,Smye,874220860-2
Liberty Kid,Stoddard,Laborde,111958753-0
The Strange Color Of Your Body's Tears,Laurette,Heinritz,003941710-7
All About the Feathers (Por Las Plumas),Stefanie,Ullock,807012714-7
Saint Ange (House of Voices),Joelie,Autrie,984170276-2
American Roulette,Eileen,Potbury,159659180-3
Saturday Night,Lukas,Woolward,433880105-0
Carbon Nation,cam, asd, a
Tamara,Hort,Kynan,999502222-2
The Almost Man,Nick,Shurmer,060679070-5
Amazing Johnathan: Wrong on Every Level,Xylia,Budleigh,562954495-0
Street Mobster (a.k.a. Modern Yakuza: Outlaw Killer) (Gendai yakuza: hito-kiri yota),Ailbert,Pygott,221255973-9
Brotherhood,Elsa,Reuss,610455706-6
Follow That Dream,Hamel,Weymont,938504526-1
Joanna,Harbert,Cratere,885825500-3
Vinyan,Beverley,Knutsen,478438361-1
Joan of Arc,Gaylene,Connichie,921557140-X
Shoppen ,Inga,Semon,999465401-2
Pandaemonium,Godfree,Bentinck,741606729-4
Crimes of the Heart,Dorry,Kiraly,061521835-0
A Golden Christmas 3,Philomena,Donneely,903527519-5
Brother of Sleep (Schlafes Bruder),Scarlett,Coade,317226264-2
Mother Joan of the Angels (Matka Joanna od aniolów),Abby,Halwood,650363981-3
District 9,Dylan,Sherreard,221665357-8
His Kind of Woman,Kiel,Espinay,241082758-6
The Boys & Girl from County Clare(a.k.a. The Boys from County Clare),Celeste,O'dell,255334924-6
Alla älskar Alice,Hedwiga,Laroze,280417334-8
Fight Zatoichi Fight (Zatôichi kesshô-tabi) (Zatôichi 8),Shellysheldon,Alliston,258403785-8
Tarantella,Sula,Housego,346809338-1
The Gardener,Daphna,Guiducci,890331292-9
Brother 2 (Brat 2),Ronnie,Buffey,840269057-2
Grotesque,Garrot,Hallows,764306246-3
Gitmek: My Marlon and Brando (Gitmek: Benim Marlon ve Brandom),Lorene,Jaffa,464905932-1
Footloose,Josee,Guitte,033350536-0
The Heavenly Body,Antonin,OIlier,886353416-0
Shaft,Carleen,Zanitti,180610399-0
Cloudy with a Chance of Meatballs,Joachim,Sonschein,124587368-7
The Town,Louis,Deverell,961426937-5
Love Money Love,Cy,Horsell,912848692-7
The House of Exorcism,Joline,Yielding,341077090-9
The Borrowers,Evvy,Karpeev,648453266-4
Trailer Park Boys: Don't Legalize It,Clemente,Bowdler,240844860-3
The Weather Underground,Madelyn,Mathieson,790797794-0
The Slams,Glyn,Robecon,818793301-1
Taxi zum Klo,Berny,Trueman,246482132-2
The January Man,Kaiser,Olyunin,512507410-1
Busses Roar (Buses Roar),Felizio,McCurley,065785211-2
Jar City (Mýrin),Blayne,Rizzone,527670768-5
Fred Claus,La verne,Bodley,822823711-1
Lethal Weapon 2,Kellsie,Baskerfield,084701184-4
The Scarecrow,Moritz,Jephcote,248228832-0
Dragon Ball Z: Broly - The Legendary Super Saiyan (Doragon bôru Z 8: Moetsukiro!! Nessen retsusen-chô gekisen),Thorndike,Roadnight,333461210-4
At the River I Stand,Hortense,Caldero,808070128-8
The Kennedys,Pansie,Liddel,164008359-6
Le Combat dans L'Ile",Benedetto,Dunmore,119970537-3
Butch and Sundance: The Early Days,Cassie,Jaffray,330121280-8
Puppet Master: The Legacy (Puppet Master 8),Sile,Arnaud,176329305-X
The Devil's Backbone,Bernardo,Ragsdall,065930416-3
Deadline,Carmelle,Meffin,207671062-0
2 ou 3 choses que je sais d'elle (2 or 3 Things I Know About Her),Warde,Denial,490543551-X
10 Questions for the Dalai Lama,Krissie,Breznovic,034788035-5
The Hunter,Krishnah,Cutting,015467271-8
The World's Fastest Indian,Ave,Brinsden,443807596-3
Battlefield Baseball (Jigoku kôshien),Gabbie,Theuss,044128335-7
Elevator Girl,Verge,Harcombe,121899108-9
Superhero Movie,Quinton,Nigh,201009263-5
Turn the River,Stormi,Fotheringham,850533096-X
Pride & Prejudice,Mozelle,Crickett,054821387-9
The King and the Mockingbird,Keir,Dring,221950102-7
Death of a Nation - The Timor Conspiracy,Tally,Bucktrout,735215351-9
Lacombe Lucien,Erina,Burdas,153646850-9
Just One of the Girls,Angelia,O'Dooghaine,154406609-0
Man-Thing,Otha,Davie,151785746-5
Laaga Chunari Mein Daag: Journey of a Woman,Antonia,Hembry,531744315-6
Haunter,Herve,Gothliff,441607225-2
Mao's Last Dancer,Devonna,Gehrels,726320365-0
Climate of Change,Lesli,Mawtus,820411348-X
Goldene Zeiten,Llewellyn,Villalta,640472856-7
Westward the Women,Coralie,Pickworth,392679715-0
We Steal Secrets: The Story of WikiLeaks,Drona,Kirkness,595773479-9
Mute Witness,Lindie,Haggleton,291021761-2
28 Days,Lorette,Borthwick,929762540-1
Slipstream,Val,Paireman,637678920-X
Fightville,Raina,Spat,017005215-X
Lockout,Roderick,Matheson,313050306-4
Tatort: Im Schmerz geboren,Minor,Baudinelli,997617526-4
Ernest Goes to Camp,Oralie,Kidstone,974835011-8
Face,Beau,Dodle,138375718-6
Life as We Know It,Pearline,Kinlock,621295467-4
The Golden Age,Kiah,Blowes,657580185-4
Children of Men,Mario,Stegell,326241510-3
The Maze Runner,Cam,Robjant,221851498-2
Margot at the Wedding,Adolphe,Precious,120691135-2
Snow (Snijeg),Fredelia,Yesichev,812545691-0
Haider,Julio,Richardot,242340232-5
Juliet of the Spirits (Giulietta degli spiriti),Davida,Masey,296305829-2
Unprecedented: The 2000 Presidential Election,D'arcy,Tissier,996496217-7
The Telephone,Cornelia,McCrisken,767646406-4
Whitey: United States of America v. James J. Bulger,Bella,Bannerman,007752754-2
Attack of the Puppet People,Haley,Cunah,558554959-6
One in the Chamber,Angus,Blackesland,304418549-1
The Buccaneer,Roxana,Southwell,592553320-8
Southern Comfort,Stuart,Minchi,602838738-X
MGS: Philanthropy,Dag,Semper,980227852-1
The Monster,Maddie,Scroyton,729214341-5
The Substance: Albert Hofmann's LSD,Carver,Kilduff,574426624-0
Up!,Meade,Eborall,392882957-2
Don Verdean,Derby,Larratt,542452044-8
Moonraker,Vladimir,Golsby,590797038-3
Eve's Bayou,Solly,Arndtsen,118531839-9
Paheli,Cecil,Byard,002678456-4
Elia Kazan: A Director's Journey,Elenore,Caston,881715578-0
Bloodfist,Deloris,Neame,346239956-X
Invitation to the Dance,Theresita,Mummery,823760920-4
Coup de grâce (Der Fangschuß),Orel,Barukh,789529667-1
Double Take,Ethyl,D'Angeli,318296200-0
Mystery of the 13th Guest,Sonja,Keppie,011068587-3
The Family,Bridget,Dominguez,641510376-8
Beast from Haunted Cave,Sydney,Vittori,613068962-4
The Bird with the Crystal Plumage,Cozmo,Brookshaw,338723518-6
100 Years of Evil,Mel,Thomson,044978311-1
Jonestown: The Life and Death of Peoples Temple,Clayborn,Dymick,648426432-5
Highlander,Sasha,Fontanet,282554949-5
Roots,Norris,Pettisall,198918483-9
Faust,Amelita,Turmell,044495326-4
Baraka,Sheelah,Shepstone,596381201-1
Brannigan,Job,McLenaghan,668534094-0
Artists and Models,Gery,Goldie,398193824-0
Creature Comforts,Belita,Sewart,031256891-6
Désiré,Analiese,Theaker,185418066-5
The Shock Doctrine,Jammal,Tille,597969425-0
Never Again,Deck,Ubsdell,490936882-5
The Finances of the Grand Duke,Katherina,Spileman,732316961-5
Don 2,Keary,D'Antoni,172241155-4
Ladies in Retirement,Teresita,Holywell,104963923-5
Breathless (Ddongpari),Towny,Micheli,689174334-6
White on Rice,Enrika,Franssen,400854228-0
Like Water for Chocolate (Como agua para chocolate),Killie,Borres,888941804-4
Daayen Ya Baayen,Maurise,Jovanovic,779796713-X
Manhunter,Currey,Venneur,428645790-7
Looking for Comedy in the Muslim World,Ruddy,Wootton,650022466-3
Dominick and Eugene,Giacomo,Slegg,733745797-9
Arachnophobia,Kylynn,Lammertz,160035781-4
Running Scared,Rinaldo,Alban,561081328-X
Easy Street,Aeriel,Balsom,679383692-7
Spontaneous Combustion,Briny,Birkmyre,894811297-X
Hester Street,Alexine,Wigfield,793950013-9
Guncrazy,Pamella,Weeden,860506323-8
White Palace,Lin,Bardwall,250406160-9
Young Detective Dee: Rise of the Sea Dragon (Di Renjie: Shen du long wang),Allx,Gunson,991477956-5
Daniel,Giacopo,Rambadt,723732950-2
Rare Exports: A Christmas Tale (Rare Exports),Clement,Dorrance,729804613-6
Hell Comes to Frogtown,Elka,Tilburn,034979325-5
Mezzo Forte,Devy,Menchenton,835034353-2
Girl with Green Eyes,Emelita,Keal,577384643-8
Hobo with a Shotgun,Carlos,Crutchfield,889018044-7
Ghosts of Mississippi,Nola,Dodson,102793015-8
Nice Guys Sleep Alone,Dolf,Dauby,531613570-9
Sun Alley (Sonnenallee),Stephi,Skeels,498674499-2
Confidential Agent,Regine,Jennens,009091535-6
Year of the Carnivore,Inez,Legate,296804334-X
Teen Spirit,Yvonne,Fernando,776598975-8
I Walked with a Zombie,Brian,Hymer,518197078-8
I Woke Up Early the Day I Died,Annelise,Pollock,884150697-0
Lust for Love,Emera,Arrell,321594815-X
Dog Tags,Vania,Inde,823119342-1
Less is More (Menos es más),Agnesse,Nortcliffe,909809010-9
City Heat,Annamaria,Gillott,714123606-6
I Don't Want to Talk About It (De eso no se habla),Cullen,Ciottoi,558692710-1
Zakochani,Tresa,Hedau,377964333-2
Louis C.K.: Live at the Beacon Theater,Lesly,Lancaster,690075953-X
The Remaining,Rorke,Gronou,481557875-3
City Lights,Janice,Lynthal,277096084-9
Tyler Perry's The Family That Preys,Elsey,Klisch,320804299-X
From Within,Jermaine,Dregan,805976714-3
Scorpio,Vyky,Adcock,443298474-0
Pink Flamingos,Ivor,Vanyarkin,118449095-3
Butterfly Girl,Rosetta,Rye,155013280-6
Madame Tutli-Putli,Ryan,Nozzolinii,105322008-1
Cheaper by the Dozen,Darb,Bandiera,947724837-1
The Stranger's Return,Devonna,Walas,873875889-X
Sacco and Vanzetti (Sacco e Vanzetti),Roxana,Kitchingman,546692928-X
Moonlight Serenade,Philbert,Wycliffe,436434221-1
Where the Money Is,Phil,Boustred,324868223-X
Bedazzled,Meier,Rudman,268001466-9
Unrest,Guglielma,Grunguer,831017986-3
Beyond Rangoon,Hilario,Stait,613044101-0
Tomorrow Night,Dorolice,Morcom,297211668-2
Diabolique,Mariya,Nealon,164061769-8
Helen,Theobald,Grene,178931355-4
Devil's Diary,Denis,Strapp,375920647-6
Strange Planet,Jackquelin,Moukes,605140264-0
Speedy,Rae,McConnel,812163882-8
Last Stand At Saber River,Deanne,Dumingo,759437954-3
Beloved Berlin Wall (Liebe Mauer),Claire,Cantillon,932988119-X
Mansfield Park,Britt,Hurd,811673887-9
Madison Avenue,Sisely,Grix,259222624-9
Will Ferrell: You're Welcome America - A Final Night with George W Bush,Taylor,Bowker,071395378-0
Three Wise Fools,Honey,Delany,878675913-2
High School Hellcats,Coleen,Mewburn,597320789-7
Pokémon the Movie: Black - Victini and Reshiram,Milicent,Phelipeaux,981543585-X
Mimino,Jeffy,McNeachtain,483875918-5
Kurt & Courtney,Jania,Queste,101055505-7
Jacob's Ladder,Dasha,Stuckow,880602157-5
Tom & Viv,Beulah,O'Nions,248543274-0
Ugetsu (Ugetsu monogatari),Ced,Portsmouth,431442547-4
Scarface,Lettie,Chrichton,823248833-6
Silence (Chinmoku),Madelyn,Tuiller,325548499-5
Crows and Sparrows (Wuya yu maque),Kippar,Goane,287239567-9
Sharpe's Gold,Jacquelin,Broy,041399243-8
East Palace West Palace (Dong gong xi gong),Jourdan,Dallas,643619946-2
Win a Date with Tad Hamilton!,Arley,Romao,995639466-1
Phone (Pon),Salem,Gyppes,295376725-8
Sands of Iwo Jima,Brook,Domoney,417902076-9
When the Levees Broke: A Requiem in Four Acts,Cicely,Bader,216549974-7
Walkabout,Hashim,Erangey,836853604-9
Table No.21,Rosco,Ziehm,886158387-3
Vampire's Kiss,Burl,Southby,606118931-1
Race the Sun,Burty,Hartle,370607100-2
Hollywood Homicide,Curtice,Buttle,489717697-2
Random Harvest,Nicolea,Pedrol,815800363-X
Tis kakomoiras,Haily,Still,367733037-8
Re-cycle (Gwai wik),Rozele,Larimer,448429590-3
Two Solutions for One Problem (Dow Rahehal Baraye yek Massaleh),Roana,Clayfield,505528393-9
Ultrasuede: In Search of Halston,Darda,Sloan,691193712-4
Karla,Mal,Taphouse,453144787-5
10.5,Annora,Chadwen,395508589-9
Dolls,Winnie,Willerton,878625706-4
Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu),Philbert,Pieterick,877029488-7
Unfinished Business,Axe,McWhorter,192025202-9
Deadline (Sprängaren),Dylan,Dredge,257219641-7
My Brother the Devil,Andriette,Dorkens,778414535-7
Encounter in the Third Dimension,Tobye,Pitchers,396456407-9
Abelar: Tales of an Ancient Empire (Tales of an Ancient Empire),Shana,Benz,434809067-X
Marketa Lazarová,Stephan,Adamini,657465118-2
Mantle,Mathilda,Philipet,530586623-5
Jingle All the Way 2,Manuel,Reyes,814868290-9
Undiscovered,Thomasin,Macellar,227322111-8
Die Another Day,Worthington,Lenden,107855551-6
Labyrinth of Passion (Laberinto de Pasiones),Chrissy,Schaffler,105236957-X
Music of the Heart,Concettina,Threlkeld,838243606-4
Gangster No. 1,Dalila,Witherington,242395770-X
Under African Skies,Carolin,Izaks,447771757-1
Dream House,Diana,Millichap,298777109-6
Killer Klowns from Outer Space,Had,Slaten,386762573-5
Harrison Bergeron,Jerrilyn,Ewence,652542611-1
Dots,Nichole,MacCaughan,799062492-3
Legends of the Canyon,Giustina,Howbrook,954220087-0
As it is in Heaven (Så som i himmelen),Ddene,Wathell,821237303-7
Zotz!,Wiley,Heitz,502128309-X
Quackser Fortune Has a Cousin in the Bronx,Barnett,Hintzer,589711188-X
Closure,Fredra,Feacham,429913534-2
Cirque du Freak: The Vampire's Assistant,Denna,Ruoff,911731671-5
Flight of the Conchords: A Texan Odyssey,Collin,Horburgh,589281732-6
Crime Wave,Onfre,McTeer,625635276-9
Nadine,Courtney,Giannotti,249865950-1
Dan in Real Life,Ailene,Demchen,539497818-2
Zombeavers,Marvin,Standley,822146371-X
Ghosts of the Abyss,Mathilde,Trimby,613451833-6
For Whom the Bell Tolls,Delmer,Antoney,424183519-8
Always,Sid,Jeske,107608852-X
Fool for Love,Yetty,Gandley,585078484-5
Frankenstein,Devi,Simonazzi,950174809-X
Blindness,Cody,Dockerty,048412741-1
Doing Time on Maple Drive,Brewster,Blannin,617497445-6
Before Sunset,Krystle,Adicot,859054459-1
After Death (Posle smerti),Rhodie,Kinworthy,172980510-8
Striptease,Rhys,Yele,322182523-4
On the Rumba River (On the Rhumba River),Betti,Lindfors,081713857-9
BBOY for LIFE,Blaire,Veevers,065268746-6
Mystery of the Wax Museum,Vidovik,Shallo,201658301-0
Sixteen Candles,Fayth,Hullins,553122055-3
10 to Midnight,Bunny,Lawty,155328819-X
Doctor X,Renato,Gopsell,663733929-6
Chasing Ghosts: Beyond the Arcade ,Alicia,Lindborg,655555611-0
Satan's Sword (Daibosatsu tôge),Pietro,Bentjens,670569118-2
99 Homes,Jeremie,Josefson,660280378-6
Touchy Feely,Hannis,Gagen,609735921-7
The Hanoi Hilton,Kenneth,Tax,718499707-7
Time of the Gypsies (Dom za vesanje),Orelee,Henker,999657237-4
Hadersfild (Huddersfield),Ervin,Figgures,076524429-2
Harry and Walter Go to New York,Conn,Cervantes,006509116-7
Abbott and Costello in the Foreign Legion,Adina,Griffe,981761521-9
Mr. & Mrs. Bridge,Hymie,Slewcock,321145619-8
Grotesque (Gurotesuku),Giraud,Ayer,485145096-6
Babylon XX,Ebony,Cristofolini,887493333-9
Stop Train 349,Walt,O'Finan,016343961-3
